date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:32	1413/1413	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2005%20Mar%202022%2021:25:02%20GMT	https://aymnal.blogspot.com/feeds/4924618926244084667/comments/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/4924618926244084667/comments/default	(from https://aymnal.blogspot.com/2022/01/blog-post.html)
15:03:33	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.13.delayed	(from https://aymnal.blogspot.com/2022/01/dxn_80.html)
15:03:33	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default?alt=rss	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.149522.delayed	(from https://aymnal.blogspot.com/2022/01/dxn_80.html)
15:03:34	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2012:03:34%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=3199397239271129121&zx=6bf1246b-e95f-4758-9467-3e9039b4ba1d	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/www.blogger.com/dyn-css/authorization2074.css	(from https://aymnal.blogspot.com/2022/01/blog-post.html)
15:03:35	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.16.delayed	(from https://aymnal.blogspot.com/2022/01/dxn_20.html)
15:03:35	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default?alt=rss	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.179522.delayed	(from https://aymnal.blogspot.com/2022/01/dxn_20.html)
15:03:35	1413/1413	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2005%20Mar%202022%2021:25:02%20GMT	https://aymnal.blogspot.com/feeds/2265727971566422950/comments/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/2265727971566422950/comments/default	(from https://aymnal.blogspot.com/2022/01/dxn_80.html)
15:03:39	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.19.delayed	(from https://aymnal.blogspot.com/2022/01/dxn_32.html)
15:03:39	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default?alt=rss	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.1a9522.delayed	(from https://aymnal.blogspot.com/2022/01/dxn_32.html)
15:03:39	1413/1413	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2005%20Mar%202022%2021:25:02%20GMT	https://aymnal.blogspot.com/feeds/6890404665589122576/comments/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/6890404665589122576/comments/default	(from https://aymnal.blogspot.com/2022/01/dxn_20.html)
15:03:40	1413/1413	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2005%20Mar%202022%2021:25:02%20GMT	https://aymnal.blogspot.com/feeds/3789869619464483815/comments/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/3789869619464483815/comments/default	(from https://aymnal.blogspot.com/2022/01/dxn_32.html)
15:03:41	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.1c.delayed	(from https://aymnal.blogspot.com/2022/01/dxn.html)
15:03:41	0/-1	---M--	302	error ('')			https://aymnal.blogspot.com/feeds/posts/default?alt=rss	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/posts/default.1d9522.delayed	(from https://aymnal.blogspot.com/2022/01/dxn.html)
15:03:44	1413/1413	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2005%20Mar%202022%2021:25:02%20GMT	https://aymnal.blogspot.com/feeds/5076432662343064404/comments/default	/storage/emulated/0/HTTrack/Websites/%d8%b5%d8%a7%d8%a8%d8%b1/aymnal.blogspot.com/feeds/5076432662343064404/comments/default	(from https://aymnal.blogspot.com/2022/01/dxn.html)
